Accession.ID,Data.Source,Related.ID,Nuc.Completeness,Sequence.Length,Sequence.Quality,Host,Location,region_exposure,country_exposure,division_exposure
EPI_ISL_425774,GISAID,"EPI_ISL_425774, ",Complete,29782,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425775,GISAID,"EPI_ISL_425775, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425777,GISAID,"EPI_ISL_425777, ",Complete,29782,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425779,GISAID,"EPI_ISL_425779, ",Complete,29782,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425780,GISAID,"EPI_ISL_425780, ",Complete,29782,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425782,GISAID,"EPI_ISL_425782, ",Complete,29782,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425783,GISAID,"EPI_ISL_425783, ",Complete,29782,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425785,GISAID,"EPI_ISL_425785, ",Complete,29811,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425786,GISAID,"EPI_ISL_425786, ",Complete,29900,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425788,GISAID,"EPI_ISL_425788, ",Complete,29782,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425790,GISAID,"EPI_ISL_425790, ",Complete,29782,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425791,GISAID,"EPI_ISL_425791, ",Complete,29782,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425792,GISAID,"EPI_ISL_425792, ",Complete,29900,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425793,GISAID,"EPI_ISL_425793, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425794,GISAID,"EPI_ISL_425794, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425795,GISAID,"EPI_ISL_425795, ",Complete,29812,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425796,GISAID,"EPI_ISL_425796, ",Complete,29809,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425797,GISAID,"EPI_ISL_425797, ",Complete,29782,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425798,GISAID,"EPI_ISL_425798, ",Complete,29812,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425799,GISAID,"EPI_ISL_425799, ",Complete,29812,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425800,GISAID,"EPI_ISL_425800, ",Complete,29812,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425801,GISAID,"EPI_ISL_425801, ",Complete,29782,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425802,GISAID,"EPI_ISL_425802, ",Complete,29779,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425803,GISAID,"EPI_ISL_425803, ",Complete,29812,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425804,GISAID,"EPI_ISL_425804, ",Complete,29812,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425805,GISAID,"EPI_ISL_425805, ",Complete,29782,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425806,GISAID,"EPI_ISL_425806, ",Complete,29812,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425807,GISAID,"EPI_ISL_425807, ",Complete,29812,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425808,GISAID,"EPI_ISL_425808, ",Complete,29782,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425809,GISAID,"EPI_ISL_425809, ",Complete,29812,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425813,GISAID,"EPI_ISL_425813, ",Complete,29782,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425815,GISAID,"EPI_ISL_425815, ",Complete,29811,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425816,GISAID,"EPI_ISL_425816, ",Complete,29779,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425817,GISAID,"EPI_ISL_425817, ",Complete,29782,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425819,GISAID,"EPI_ISL_425819, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425821,GISAID,"EPI_ISL_425821, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425822,GISAID,"EPI_ISL_425822, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425823,GISAID,"EPI_ISL_425823, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425826,GISAID,"EPI_ISL_425826, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425827,GISAID,"EPI_ISL_425827, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425828,GISAID,"EPI_ISL_425828, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425829,GISAID,"EPI_ISL_425829, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425830,GISAID,"EPI_ISL_425830, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425836,GISAID,"EPI_ISL_425836, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425839,GISAID,"EPI_ISL_425839, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425842,GISAID,"EPI_ISL_425842, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425843,GISAID,"EPI_ISL_425843, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425844,GISAID,"EPI_ISL_425844, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425845,GISAID,"EPI_ISL_425845, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425847,GISAID,"EPI_ISL_425847, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425848,GISAID,"EPI_ISL_425848, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425849,GISAID,"EPI_ISL_425849, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425850,GISAID,"EPI_ISL_425850, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425851,GISAID,"EPI_ISL_425851, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425852,GISAID,"EPI_ISL_425852, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425856,GISAID,"EPI_ISL_425856, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425861,GISAID,"EPI_ISL_425861, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425862,GISAID,"EPI_ISL_425862, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425863,GISAID,"EPI_ISL_425863, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425864,GISAID,"EPI_ISL_425864, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425866,GISAID,"EPI_ISL_425866, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425867,GISAID,"EPI_ISL_425867, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425868,GISAID,"EPI_ISL_425868, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425869,GISAID,"EPI_ISL_425869, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425870,GISAID,"EPI_ISL_425870, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425872,GISAID,"EPI_ISL_425872, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425873,GISAID,"EPI_ISL_425873, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425875,GISAID,"EPI_ISL_425875, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425876,GISAID,"EPI_ISL_425876, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425877,GISAID,"EPI_ISL_425877, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425878,GISAID,"EPI_ISL_425878, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425879,GISAID,"EPI_ISL_425879, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425880,GISAID,"EPI_ISL_425880, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425881,GISAID,"EPI_ISL_425881, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425882,GISAID,"EPI_ISL_425882, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425885,GISAID,"EPI_ISL_425885, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425887,GISAID,"EPI_ISL_425887, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425888,GISAID,"EPI_ISL_425888, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425889,GISAID,"EPI_ISL_425889, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425891,GISAID,"EPI_ISL_425891, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425892,GISAID,"EPI_ISL_425892, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425893,GISAID,"EPI_ISL_425893, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425896,GISAID,"EPI_ISL_425896, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425897,GISAID,"EPI_ISL_425897, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425899,GISAID,"EPI_ISL_425899, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425900,GISAID,"EPI_ISL_425900, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425902,GISAID,"EPI_ISL_425902, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425904,GISAID,"EPI_ISL_425904, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425906,GISAID,"EPI_ISL_425906, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425907,GISAID,"EPI_ISL_425907, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425911,GISAID,"EPI_ISL_425911, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425915,GISAID,"EPI_ISL_425915, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425916,GISAID,"EPI_ISL_425916, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425917,GISAID,"EPI_ISL_425917, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425918,GISAID,"EPI_ISL_425918, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425919,GISAID,"EPI_ISL_425919, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425922,GISAID,"EPI_ISL_425922, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425924,GISAID,"EPI_ISL_425924, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425925,GISAID,"EPI_ISL_425925, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425927,GISAID,"EPI_ISL_425927, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425933,GISAID,"EPI_ISL_425933, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425937,GISAID,"EPI_ISL_425937, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425939,GISAID,"EPI_ISL_425939, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425943,GISAID,"EPI_ISL_425943, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425944,GISAID,"EPI_ISL_425944, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425945,GISAID,"EPI_ISL_425945, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425947,GISAID,"EPI_ISL_425947, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425948,GISAID,"EPI_ISL_425948, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425949,GISAID,"EPI_ISL_425949, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425950,GISAID,"EPI_ISL_425950, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425951,GISAID,"EPI_ISL_425951, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425952,GISAID,"EPI_ISL_425952, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425953,GISAID,"EPI_ISL_425953, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425954,GISAID,"EPI_ISL_425954, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425956,GISAID,"EPI_ISL_425956, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425958,GISAID,"EPI_ISL_425958, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425959,GISAID,"EPI_ISL_425959, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425961,GISAID,"EPI_ISL_425961, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425962,GISAID,"EPI_ISL_425962, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425963,GISAID,"EPI_ISL_425963, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425964,GISAID,"EPI_ISL_425964, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425965,GISAID,"EPI_ISL_425965, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425966,GISAID,"EPI_ISL_425966, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425967,GISAID,"EPI_ISL_425967, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425968,GISAID,"EPI_ISL_425968, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425969,GISAID,"EPI_ISL_425969, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425971,GISAID,"EPI_ISL_425971, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425972,GISAID,"EPI_ISL_425972, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425976,GISAID,"EPI_ISL_425976, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425978,GISAID,"EPI_ISL_425978, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425979,GISAID,"EPI_ISL_425979, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425980,GISAID,"EPI_ISL_425980, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425982,GISAID,"EPI_ISL_425982, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425985,GISAID,"EPI_ISL_425985, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425986,GISAID,"EPI_ISL_425986, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425987,GISAID,"EPI_ISL_425987, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425988,GISAID,"EPI_ISL_425988, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425990,GISAID,"EPI_ISL_425990, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425991,GISAID,"EPI_ISL_425991, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425992,GISAID,"EPI_ISL_425992, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425993,GISAID,"EPI_ISL_425993, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425994,GISAID,"EPI_ISL_425994, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425995,GISAID,"EPI_ISL_425995, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425996,GISAID,"EPI_ISL_425996, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425997,GISAID,"EPI_ISL_425997, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425998,GISAID,"EPI_ISL_425998, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_425999,GISAID,"EPI_ISL_425999, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_426000,GISAID,"EPI_ISL_426000, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_426001,GISAID,"EPI_ISL_426001, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_426002,GISAID,"EPI_ISL_426002, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_426003,GISAID,"EPI_ISL_426003, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_426004,GISAID,"EPI_ISL_426004, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_426005,GISAID,"EPI_ISL_426005, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_426006,GISAID,"EPI_ISL_426006, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_426007,GISAID,"EPI_ISL_426007, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_426008,GISAID,"EPI_ISL_426008, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_426009,GISAID,"EPI_ISL_426009, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_426011,GISAID,"EPI_ISL_426011, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_426013,GISAID,"EPI_ISL_426013, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_426014,GISAID,"EPI_ISL_426014, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_426015,GISAID,"EPI_ISL_426015, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_426016,GISAID,"EPI_ISL_426016, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_426020,GISAID,"EPI_ISL_426020, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_426021,GISAID,"EPI_ISL_426021, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_426023,GISAID,"EPI_ISL_426023, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_426024,GISAID,"EPI_ISL_426024, ",Complete,29903,High,Homo Sapiens,United Kingdom / Scotland,Europe,United Kingdom,Scotland
EPI_ISL_426025,GISAID,"EPI_ISL_426025, ",Complete,29822,High,Homo Sapiens,United States / New York,North America,USA,New York
EPI_ISL_426026,GISAID,"EPI_ISL_426026, ",Complete,29822,High,Homo Sapiens,United States / New York,North America,USA,New York
EPI_ISL_426027,GISAID,"EPI_ISL_426027, ",Complete,29822,High,Homo Sapiens,United States / New York,North America,USA,New York
EPI_ISL_426028,GISAID,"EPI_ISL_426028, ",Complete,29822,High,Homo Sapiens,United States / New York,North America,USA,New York
EPI_ISL_426029,GISAID,"EPI_ISL_426029, ",Complete,29822,High,Homo Sapiens,United States / New York,North America,USA,New York
EPI_ISL_426030,GISAID,"EPI_ISL_426030, ",Complete,29822,High,Homo Sapiens,United States / New York,North America,USA,New York
EPI_ISL_426031,GISAID,"EPI_ISL_426031, ",Complete,29822,High,Homo Sapiens,United States / New York,North America,USA,New York
EPI_ISL_426032,GISAID,"EPI_ISL_426032, ",Complete,29822,High,Homo Sapiens,United States / New York,North America,USA,New York
EPI_ISL_426033,GISAID,"EPI_ISL_426033, ",Complete,29822,High,Homo Sapiens,United States / New York,North America,USA,New York
EPI_ISL_426034,GISAID,"EPI_ISL_426034, ",Complete,29822,High,Homo Sapiens,United States / New York,North America,USA,New York
EPI_ISL_426035,GISAID,"EPI_ISL_426035, ",Complete,29822,High,Homo Sapiens,United States / New York,North America,USA,New York
EPI_ISL_426036,GISAID,"EPI_ISL_426036, ",Complete,29822,High,Homo Sapiens,United States / New York,North America,USA,New York
EPI_ISL_426037,GISAID,"EPI_ISL_426037, ",Complete,29822,High,Homo Sapiens,United States / New York,North America,USA,New York
EPI_ISL_426038,GISAID,"EPI_ISL_426038, ",Complete,29822,High,Homo Sapiens,United States / New York,North America,USA,New York
EPI_ISL_426039,GISAID,"EPI_ISL_426039, ",Complete,29822,High,Homo Sapiens,United States / New York,North America,USA,New York
EPI_ISL_426040,GISAID,"EPI_ISL_426040, ",Complete,29822,High,Homo Sapiens,United States / New York,North America,USA,New York
EPI_ISL_426041,GISAID,"EPI_ISL_426041, ",Complete,29822,High,Homo Sapiens,United States / New York,North America,USA,New York
EPI_ISL_426042,GISAID,"EPI_ISL_426042, ",Complete,29822,High,Homo Sapiens,United States / New York,North America,USA,New York
EPI_ISL_426043,GISAID,"EPI_ISL_426043, ",Complete,29822,High,Homo Sapiens,United States / New York,North America,USA,New York
EPI_ISL_426044,GISAID,"EPI_ISL_426044, ",Complete,29822,High,Homo Sapiens,United States / New York,North America,USA,New York
